data	indice_mes	indice_acumulado_ano	indice_acumulado_12_meses	num_indice_acumulado_jan_1993
Jan/2020	0,21	0,2100	4,1917	1.373,9760
Fev/2020	0,25	0,4605	4,0049	1.377,4110
Mar/2020	0,07	0,5308	3,3030	1.378,3751
Abr/2020	-0,31	0,2192	2,3990	1.374,1021
Mai/2020	-0,38	-0,1616	1,8775	1.368,8806
Jun/2020	0,26	0,0979	2,1322	1.372,4397
Jul/2020	0,36	0,4583	2,3055	1.377,3805
Ago/2020	0,24	0,6994	2,4383	1.380,6862
Set/2020	0,64	1,3439	3,1352	1.389,5226
Out/2020	0,86	2,2154	3,9182	1.401,4725
Nov/2020	0,89	3,1252	4,3111	1.413,9456
Dez/2020	1,35	4,5173	4,5173	1.433,0338
