Data;7481 - Cesta básica - Belo Horizonte - u.m.c.;7491 - Cesta básica - Rio de Janeiro - u.m.c.;7493 - Cesta básica - São Paulo - u.m.c.;7494 - Cesta básica - Vitória - u.m.c.
01/1998;95,17 ;98,38 ;100,01 ;86,09
02/1998;94,52 ;99,22 ;99,65 ;85,48
03/1998;94,79 ;100,36 ;101,97 ;86,51
04/1998;97,65 ;101,44 ;106,30 ;89,91
05/1998;103,12 ;101,18 ;112,14 ;89,54
06/1998;99,79 ;100,86 ;111,47 ;93,89
07/1998;93,16 ;96,92 ;105,08 ;86,93
08/1998;91,91 ;92,60 ;101,43 ;82,97
09/1998;90,59 ;92,38 ;100,53 ;81,32
10/1998;92,30 ;89,14 ;102,49 ;81,77
11/1998;91,05 ;93,49 ;101,76 ;82,16
12/1998;93,58 ;94,03 ;102,09 ;85,66
01/1999;95,55 ;94,16 ;104,86 ;81,32
02/1999;100,26 ;93,30 ;106,75 ;84,73
03/1999;98,41 ;96,47 ;106,28 ;88,11
04/1999;97,34 ;96,00 ;104,54 ;91,99
05/1999;96,66 ;97,67 ;105,05 ;89,33
06/1999;94,53 ;96,12 ;104,00 ;89,83
07/1999;94,10 ;94,87 ;103,03 ;84,75
08/1999;98,50 ;98,18 ;106,23 ;88,76
09/1999;97,07 ;97,05 ;108,17 ;85,83
10/1999;100,79 ;100,78 ;111,11 ;90,07
11/1999;103,91 ;101,97 ;111,91 ;93,49
12/1999;98,44 ;100,87 ;111,96 ;92,76
01/2000;104,30 ;100,82 ;112,22 ;94,73
02/2000;107,40 ;107,29 ;110,80 ;93,22
03/2000;110,80 ;110,13 ;115,13 ;96,11
04/2000;110,28 ;108,01 ;115,92 ;97,17
05/2000;103,28 ;98,51 ;111,78 ;93,70
06/2000;99,81 ;97,73 ;109,44 ;90,69
07/2000;104,61 ;101,41 ;111,43 ;89,57
08/2000;106,60 ;106,00 ;114,63 ;94,08
09/2000;110,04 ;108,74 ;119,47 ;96,21
10/2000;113,55 ;113,00 ;122,61 ;97,67
11/2000;115,03 ;115,11 ;121,61 ;98,89
12/2000;111,12 ;113,27 ;119,54 ;96,11
01/2001;116,46 ;116,61 ;123,36 ;94,81
02/2001;118,45 ;114,61 ;123,44 ;97,25
03/2001;118,83 ;117,60 ;124,76 ;104,88
04/2001;127,38 ;118,58 ;129,49 ;113,20
05/2001;123,72 ;122,65 ;129,78 ;110,94
06/2001;115,91 ;120,53 ;127,58 ;110,89
07/2001;116,64 ;122,08 ;125,68 ;111,24
08/2001;113,80 ;125,62 ;126,39 ;108,26
09/2001;115,06 ;119,64 ;125,01 ;107,04
10/2001;118,95 ;117,13 ;125,00 ;111,02
11/2001;119,27 ;125,18 ;127,28 ;112,94
12/2001;121,02 ;126,20 ;128,60 ;116,51
01/2002;118,20 ;123,42 ;128,63 ;117,78
02/2002;121,59 ;126,40 ;129,21 ;117,78
03/2002;116,18 ;126,65 ;129,89 ;116,25
04/2002;118,25 ;127,97 ;132,22 ;116,00
05/2002;116,93 ;125,55 ;129,26 ;113,65
