Data;1619 - Salário mínimo - u.m.c.
01/1990;1.283,95
02/1990;2.004,37
03/1990;3.674,06
04/1990;3.674,06
05/1990;3.674,06
06/1990;3.857,76
07/1990;4.904,76
08/1990;5.203,46
09/1990;6.056,31
10/1990;6.425,14
11/1990;8.329,55
12/1990;8.836,82
01/1991;12.325,60
02/1991;15.895,46
03/1991;17.000,00
04/1991;20.000,00
05/1991;23.131,68
06/1991;23.131,68
07/1991;23.131,68
08/1991;39.293,28
09/1991;42.000,00
10/1991;42.000,00
11/1991;42.000,00
12/1991;63.000,00
01/1992;96.037,33
02/1992;96.037,33
03/1992;96.037,33
04/1992;96.037,33
05/1992;230.000,00
06/1992;230.000,00
07/1992;230.000,00
08/1992;230.000,00
09/1992;522.186,94
10/1992;522.186,94
11/1992;522.186,94
12/1992;522.186,94
01/1993;1.250.700,00
02/1993;1.250.700,00
03/1993;1.709.400,00
04/1993;1.709.400,00
05/1993;3.303.300,00
06/1993;3.303.300,00
07/1993;4.639.800,00
08/1993;5.534,00
09/1993;9.606,00
10/1993;12.024,00
11/1993;15.021,00
12/1993;18.760,00
01/1994;32.882,00
02/1994;42.829,00
03/1994;50.298,34
04/1994;71.532,22
05/1994;102.887,77
06/1994;147.627,08
07/1994;64,79
08/1994;64,79
09/1994;70,00
10/1994;70,00
11/1994;70,00
12/1994;70,00
01/1995;70,00
02/1995;70,00
03/1995;70,00
04/1995;70,00
05/1995;100,00
06/1995;100,00
07/1995;100,00
08/1995;100,00
09/1995;100,00
10/1995;100,00
11/1995;100,00
12/1995;100,00
01/1996;100,00
02/1996;100,00
03/1996;100,00
04/1996;100,00
05/1996;112,00
06/1996;112,00
07/1996;112,00
08/1996;112,00
09/1996;112,00
10/1996;112,00
11/1996;112,00
12/1996;112,00
01/1997;112,00
02/1997;112,00
03/1997;112,00
04/1997;112,00
05/1997;120,00
06/1997;120,00
07/1997;120,00
08/1997;120,00
09/1997;120,00
10/1997;120,00
11/1997;120,00
12/1997;120,00
01/1998;120,00
02/1998;120,00
03/1998;120,00
04/1998;120,00
05/1998;130,00
06/1998;130,00
07/1998;130,00
08/1998;130,00
09/1998;130,00
10/1998;130,00
11/1998;130,00
12/1998;130,00
01/1999;130,00
02/1999;130,00
03/1999;130,00
04/1999;130,00
05/1999;136,00
06/1999;136,00
07/1999;136,00
08/1999;136,00
09/1999;136,00
10/1999;136,00
11/1999;136,00
12/1999;136,00
01/2000;136,00
02/2000;136,00
03/2000;136,00
04/2000;151,00
05/2000;151,00
06/2000;151,00
07/2000;151,00
08/2000;151,00
09/2000;151,00
10/2000;151,00
11/2000;151,00
12/2000;151,00
01/2001;151,00
02/2001;151,00
03/2001;151,00
04/2001;180,00
05/2001;180,00
06/2001;180,00
07/2001;180,00
08/2001;180,00
09/2001;180,00
10/2001;180,00
11/2001;180,00
12/2001;180,00
01/2002;180,00
02/2002;180,00
03/2002;180,00
04/2002;200,00
05/2002;200,00
06/2002;200,00
07/2002;200,00
08/2002;200,00
09/2002;200,00
10/2002;200,00
11/2002;200,00
12/2002;200,00
01/2003;200,00
02/2003;200,00
03/2003;200,00
04/2003;240,00
05/2003;240,00
06/2003;240,00
07/2003;240,00
08/2003;240,00
09/2003;240,00
10/2003;240,00
11/2003;240,00
12/2003;240,00
01/2004;240,00
02/2004;240,00
03/2004;240,00
04/2004;240,00
05/2004;260,00
06/2004;260,00
07/2004;260,00
08/2004;260,00
09/2004;260,00
10/2004;260,00
11/2004;260,00
12/2004;260,00
01/2005;260,00
02/2005;260,00
03/2005;260,00
04/2005;260,00
05/2005;300,00
06/2005;300,00
07/2005;300,00
08/2005;300,00
09/2005;300,00
10/2005;300,00
11/2005;300,00
12/2005;300,00
01/2006;300,00
02/2006;300,00
03/2006;300,00
04/2006;350,00
05/2006;350,00
06/2006;350,00
07/2006;350,00
08/2006;350,00
09/2006;350,00
10/2006;350,00
11/2006;350,00
12/2006;350,00
01/2007;350,00
02/2007;350,00
03/2007;350,00
04/2007;380,00
05/2007;380,00
06/2007;380,00
07/2007;380,00
08/2007;380,00
09/2007;380,00
10/2007;380,00
11/2007;380,00
12/2007;380,00
01/2008;380,00
02/2008;380,00
03/2008;415,00
04/2008;415,00
05/2008;415,00
06/2008;415,00
07/2008;415,00
08/2008;415,00
09/2008;415,00
10/2008;415,00
11/2008;415,00
12/2008;415,00
01/2009;415,00
02/2009;465,00
03/2009;465,00
04/2009;465,00
05/2009;465,00
06/2009;465,00
07/2009;465,00
08/2009;465,00
09/2009;465,00
10/2009;465,00
11/2009;465,00
12/2009;465,00
01/2010;510,00
02/2010;510,00
03/2010;510,00
04/2010;510,00
05/2010;510,00
06/2010;510,00
07/2010;510,00
08/2010;510,00
09/2010;510,00
10/2010;510,00
11/2010;510,00
12/2010;510,00
01/2011;540,00
02/2011;540,00
03/2011;545,00
04/2011;545,00
05/2011;545,00
06/2011;545,00
07/2011;545,00
08/2011;545,00
09/2011;545,00
10/2011;545,00
11/2011;545,00
12/2011;545,00
01/2012;622,00
02/2012;622,00
03/2012;622,00
04/2012;622,00
05/2012;622,00
06/2012;622,00
07/2012;622,00
08/2012;622,00
09/2012;622,00
10/2012;622,00
11/2012;622,00
12/2012;622,00
01/2013;678,00
02/2013;678,00
03/2013;678,00
04/2013;678,00
05/2013;678,00
06/2013;678,00
07/2013;678,00
08/2013;678,00
09/2013;678,00
10/2013;678,00
11/2013;678,00
12/2013;678,00
01/2014;724,00
02/2014;724,00
03/2014;724,00
04/2014;724,00
05/2014;724,00
06/2014;724,00
07/2014;724,00
08/2014;724,00
09/2014;724,00
10/2014;724,00
11/2014;724,00
12/2014;724,00
01/2015;788,00
02/2015;788,00
03/2015;788,00
04/2015;788,00
05/2015;788,00
06/2015;788,00
07/2015;788,00
08/2015;788,00
09/2015;788,00
10/2015;788,00
11/2015;788,00
12/2015;788,00
01/2016;880,00
02/2016;880,00
03/2016;880,00
04/2016;880,00
05/2016;880,00
06/2016;880,00
07/2016;880,00
08/2016;880,00
09/2016;880,00
10/2016;880,00
11/2016;880,00
12/2016;880,00
01/2017;937,00
02/2017;937,00
03/2017;937,00
04/2017;937,00
05/2017;937,00
06/2017;937,00
07/2017;937,00
08/2017;937,00
09/2017;937,00
10/2017;937,00
11/2017;937,00
12/2017;937,00
01/2018;954,00
02/2018;954,00
03/2018;954,00
04/2018;954,00
05/2018;954,00
06/2018;954,00
07/2018;954,00
08/2018;954,00
09/2018;954,00
10/2018;954,00
11/2018;954,00
12/2018;954,00
01/2019;998,00
02/2019;998,00
03/2019;998,00
04/2019;998,00
05/2019;998,00
06/2019;998,00
07/2019;998,00
08/2019;998,00
09/2019;998,00
10/2019;998,00
11/2019;998,00
12/2019;998,00
01/2020;1.039,00
02/2020;1.045,00
03/2020;1.045,00
04/2020;1.045,00
05/2020;1.045,00
06/2020;1.045,00
07/2020;1.045,00
08/2020;1.045,00
09/2020;1.045,00
10/2020;1.045,00
11/2020;1.045,00
12/2020;1.045,00
01/2021;1.100,00
02/2021;1.100,00
03/2021;1.100,00
04/2021;1.100,00
05/2021;1.100,00
06/2021;1.100,00
07/2021;1.100,00
08/2021;1.100,00
09/2021;1.100,00
10/2021;1.100,00
11/2021;1.100,00
12/2021;1.100,00
01/2022;1.212,00
02/2022;1.212,00
03/2022;1.212,00
04/2022;1.212,00
05/2022;1.212,00
06/2022;1.212,00
07/2022;1.212,00
08/2022;1.212,00
09/2022;1.212,00
10/2022;1.212,00
11/2022;1.212,00
